1739 Golden Retriever             06/01/2014     03/31/2010     F    2
1749 Dachshund                    06/04/2014     99             F    2
1757 Chow Chow                    06/08/2014     11/10/2009     M    3
1764 German Shepherd Dog          06/09/2014     04/20/2011     M    3
1765 Australian Shepherd          06/12/2014     99             M    2
1772 Chihuahua                    06/14/2014     99             M    1
1786 Terrier                      06/15/2014     05/16/2012     F    3
1794 Boxer                        06/15/2014     02/02/2011     M    3
1808 Rottweiler                   06/15/2014     08/02/2012     F    3
1813 Chihuahua                    06/16/2014     11/30/2010     M    1
1820 Dachshund                    06/16/2014     99             M    2
1826 Pug                          06/17/2014     06/23/2008     F    3
1840 Rottweiler                   06/17/2014     10/19/2007     M    4
1847 Golden Retriever             06/20/2014     06/30/2008     F    1
1853 Terrier                      06/22/2014     99             F    2
1866 Chihuahua                    06/24/2014     01/27/2012     M    2
1874 Labrador Retriever           06/24/2014     06/03/2009     F    1
1875 Rottweiler                   06/29/2014     06/30/2013     M    4
1889 Australian Shepherd          06/99/2014     08/06/2004     F    1
1901 Greyhound                    06/99/2014     09/01/2008     M    1
1908 Rottweiler                   06/99/2014     05/30/2005     F    1
1922 Greyhound                    07/03/2014     99             M    3
1925 Chihuahua                    07/05/2014     99             M    4
1935 German Shepherd Dog          07/08/2014     04/07/2006     M    1
1938 Collie                       07/09/2014     10/11/2012     F    1
1944 Boxer                        07/09/2014     99             M    3
1950 Terrier                      07/12/2014     11/24/2008     F    1
1952 Labrador Retriever           07/14/2014     07/14/2014     F    6
1953 Labrador Retriever           07/14/2014     07/14/2014     F    6
1954 Labrador Retriever           07/14/2014     07/14/2014     F    6
1955 Labrador Retriever           07/14/2014     07/14/2014     M    6
1963 Boxer                        07/14/2014     12/25/2005     F    2
1976 English Setter               07/14/2014     05/08/2011     M    2
1988 Boxer                        07/16/2014     99             F    4
1997 Pointer                      07/18/2014     99             M    1
2004 Golden Retriever             07/20/2014     07/21/2011     F    3
2015 Rottweiler                   07/22/2014     03/16/2005     F    1
2026 Australian Shepherd          07/26/2014     10/17/2010     M    3
2034 Bulldog                      08/03/2014     05/28/2007     F    1
2036 Pomeranian                   08/03/2014     02/16/2008     M    2
2044 Beagle                       08/07/2014     05/25/2013     M    2
2047 German Shepherd Dog          08/07/2014     99             M    1
2048 Akita                        08/10/2014     06/17/2013     F    4
2054 Australian Shepherd          08/11/2014     04/05/2006     M    3
2056 German Shepherd Dog          08/15/2014     10/09/2013     M    4
2065 Boxer                        08/17/2014     09/07/2008     M    2
2077 Golden Retriever             08/18/2014     02/07/2013     M    3
2081 Pug                          08/18/2014     99             M    4
2086 Terrier                      08/22/2014     99             M    3
2100 Shetland Sheepdog            08/22/2014     03/24/2009     F    4
2103 Siberian Husky               08/24/2014     06/09/2007     M    2
2106 Shetland Sheepdog            08/28/2014     06/02/2010     F    4
2108 German Shepherd Dog          08/29/2014     11/13/1983     M    1
2111 Australian Cattle Dog        08/99/2014     10/06/2008     F    2
2118 Boxer                        09/04/2014     05/19/2010     F    2
2132 Terrier                      09/05/2014     05/13/2012     M    1
2137 Dalmatian                    09/06/2014     99             F    4
2147 Terrier                      09/08/2014     02/02/2008     M    2
2151 Chihuahua                    09/09/2014     03/17/2010     M    3
2152 Poodle                       09/09/2014     12/15/2013     M    1
2160 Labrador Retriever           09/10/2014     03/15/2014     F    3
2173 Labrador Retriever           09/10/2014     01/21/2013     F    3
2181 Australian Cattle Dog        09/11/2014     99             M    4
2191 Collie                       09/12/2014     04/25/2011     M    3
2202 Australian Shepherd          09/18/2014     12/02/2010     M    1
2210 Chow Chow                    09/19/2014     10/04/2009     M    3
2211 Dalmatian                    09/19/2014     02/15/2010     F    4
2215 Bulldog                      09/22/2014     01/18/2007     F    3
2220 Poodle                       09/22/2014     99             M    2
2230 Bulldog                      09/23/2014     03/03/2009     F    3
2243 Chihuahua                    09/23/2014     08/28/2008     F    4
2246 Rottweiler                   09/23/2014     08/22/2012     F    4
2252 Chihuahua                    09/25/2014     01/21/2010     F    2
2263 Pug                          09/25/2014     09/04/2012     F    1
2274 Maltese                      09/27/2014     10/31/2012     M    1
2279 Poodle                       09/28/2014     04/08/2009     F    1
2292 Golden Retriever             09/29/2014     10/15/2013     M    1
2305 Pug                          09/99/2014     08/02/2011     F    2
2306 Shetland Sheepdog            09/99/2014     09/30/2011     M    2
2320 Chow Chow                    09/99/2014     99             M    3
2322 German Shepherd Dog          09/99/2014     01/20/2014     M    2
2326 Beagle                       10/01/2014     06/10/2012     F    2
2327 Pug                          10/04/2014     10/28/2013     M    1
2328 Boxer                        10/05/2014     03/25/2008     F    3
2340 Pointer                      10/06/2014     11/12/2012     M    2
2345 Chow Chow                    10/10/2014     11/26/2009     F    2
2350 German Shepherd Dog          10/12/2014     05/26/2011     M    4
2355 Rottweiler                   10/12/2014     08/11/2009     M    1
2360 Bulldog                      10/16/2014     09/19/2012     M    4
2370 Doberman Pinscher            10/17/2014     99             F    2
2375 Terrier                      10/20/2014     05/25/2010     F    4
2380 Poodle                       10/28/2014     11/20/2010     M    3
2386 Dalmatian                    10/99/2014     10/17/2011     M    4
2392 Labrador Retriever           11/05/2014     11/05/2014     F    6
2393 Labrador Retriever           11/05/2014     11/05/2014     F    6
2394 Labrador Retriever           11/05/2014     11/05/2014     F    6
2395 Labrador Retriever           11/05/2014     11/05/2014     F    6
2396 Labrador Retriever           11/05/2014     11/05/2014     F    6
2397 Labrador Retriever           11/05/2014     11/05/2014     M    6
2401 Labrador Retriever           11/05/2014     09/16/2007     M    1
2413 Rottweiler                   11/06/2014     11/16/2008     F    4
2416 Collie                       11/10/2014     99             M    2
2420 Greyhound                    11/12/2014     12/17/2008     M    1
2422 Bulldog                      11/13/2014     01/09/2010     M    3
2426 Labrador Retriever           11/14/2014     12/23/2010     F    4
2432 Dachshund                    11/15/2014     99             F    1
2434 Golden Retriever             11/15/2014     08/23/2010     F    1
2446 Golden Retriever             11/15/2014     07/20/2012     M    4
2457 Labrador Retriever           11/15/2014     05/04/2008     M    2
2461 Rottweiler                   11/15/2014     99             F    2
2463 Labrador Retriever           11/16/2014     99             M    3
2468 German Shepherd Dog          11/17/2014     02/16/2013     M    3
2470 Golden Retriever             11/17/2014     06/27/2007     M    4
2480 Bulldog                      11/24/2014     05/10/2006     M    2
2494 Golden Retriever             11/26/2014     03/23/2012     F    3
2500 Pug                          11/26/2014     09/21/2010     M    2
2505 Boxer                        11/99/2014     99             F    1
2514 Collie                       11/99/2014     06/26/2008     F    3
2523 Pomeranian                   11/99/2014     09/09/2011     F    3
2534 Boxer                        12/01/2014     07/11/2013     M    4
2547 German Shepherd Dog          12/03/2014     99             F    3
2551 Poodle                       12/05/2014     09/25/2007     M    3
2559 Australian Cattle Dog        12/07/2014     04/29/2011     F    1
2564 Doberman Pinscher            12/08/2014     08/21/2007     M    2
2567 Terrier                      12/11/2014     10/20/2008     F    3
2579 Chihuahua                    12/11/2014     06/08/2008     M    3
2592 Basset Hound                 12/13/2014     04/09/2009     F    3
2605 Pug                          12/15/2014     99             M    1
2610 Australian Cattle Dog        12/16/2014     04/12/2014     F    3
2615 German Shepherd Dog          12/21/2014     06/17/2007     F    4
2620 Terrier                      12/22/2014     03/15/2010     M    4
2627 Terrier                      12/23/2014     99             F    3
2630 Rottweiler                   12/23/2014     03/26/2011     F    1
2638 Pointer                      12/99/2014     07/20/2008     F    2
2649 Australian Shepherd          12/99/2014     09/17/2011     M    3
